Player,Salary,Position,Team,Opponent,Projection,Value,Ownership %,Optimal %,Leverage,Std Dev,Boom,Bust,Ceiling,Floor
Puka Nacua,8700,WR,LAR,DET,24.76,2.85,34,30.4,-3.600000000000003,10.23,24.3280307033627,28.2762353150403,31.66,17.86
Christian McCaffrey,9000,RB,SF,TEN,24.617,2.74,23.133333333333333,20.266666666666666,-2.866666666666667,8.39,20.2740655030581,27.503941188426502,30.28,18.95
Jahmyr Gibbs,8800,RB,DET,LAR,23.532,2.67,18.6,17.833333333333336,-0.7666666666666655,7.89,16.7970365025165,28.7892503133649,28.85,18.21
Matthew Stafford,7000,QB,LAR,DET,22.654,3.24,10.333333333333334,7.9,-2.433333333333333,8.00,8.76874835181461,32.3980185312222,28.05,17.26
Ja'Marr Chase,8100,WR,CIN,BAL,22.586,2.79,26,24.53333333333333,-1.466666666666669,10.04,21.6938651070845,30.4083784207885,29.36,15.82
Josh Allen,7500,QB,BUF,NE,22.508,3.00,4.233333333333333,5.433333333333333,1.1999999999999997,8.01,5.93468671088137,40.10048800001,27.91,17.11
Lamar Jackson,6400,QB,BAL,CIN,21.992,3.44,10.299999999999999,10.333333333333334,0.033333333333333826,7.73,10.4611223730764,26.7691293389689,27.21,16.78
Jaxon Smith-Njigba,8600,WR,SEA,IND,21.752,2.53,17.133333333333333,15.566666666666668,-1.5666666666666662,9.95,16.0198692225759,37.7264084240228,28.46,15.04
Jalen Hurts,6800,QB,PHI,LV,20.93,3.08,3.5000000000000004,6.5,3,7.69,5.97553730924915,37.1042628261886,26.12,15.74
Patrick Mahomes,6500,QB,KC,LAC,20.328,3.13,3.3666666666666663,4.966666666666667,1.6,7.01,4.80185056892556,34.3353116251525,25.06,15.60
Jaxson Dart,5600,QB,NYG,WAS,19.881,3.55,8.433333333333334,10.433333333333334,2.0000000000000004,7.21,9.55811324564777,24.0366899972513,24.74,15.02
Joe Burrow,6600,QB,CIN,BAL,19.687,2.98,4.833333333333333,3.4333333333333336,-1.4,7.24,4.0735569241042,39.7206519368145,24.57,14.80
Amon-Ra St. Brown,7900,WR,DET,LAR,19.664,2.49,15.433333333333332,11.700000000000001,-3.7333333333333316,8.77,12.0284694010739,37.8942792036652,25.58,13.75
Drake Maye,6700,QB,NE,BUF,19.443,2.90,2.3333333333333335,2.7666666666666666,0.4333333333333331,7.07,3.13512281221848,42.4650146868968,24.21,14.68
Brock Purdy,6200,QB,SF,TEN,19.063,3.07,6.7333333333333325,4.433333333333334,-2.2999999999999994,7.19,4.71631821737685,36.6050331051159,23.92,14.21
James Cook III,8000,RB,BUF,NE,18.964,2.37,6.6000000000000005,8.133333333333333,1.5333333333333323,7.03,7.26378422583977,40.0916170996679,23.70,14.22
Marcus Mariota,5000,QB,WAS,NYG,18.776,3.76,8.033333333333333,10.2,2.166666666666665,6.65,9.48153691088102,19.2593918093434,23.26,14.29
C.J. Stroud,5200,QB,HOU,ARI,18.615,3.58,11.833333333333334,8.233333333333333,-3.6000000000000005,6.93,8.54414480036286,23.4514333725034,23.29,13.94
Saquon Barkley,7100,RB,PHI,LV,18.609,2.62,15.233333333333333,13.066666666666665,-2.166666666666667,6.89,11.0539621429598,30.225085359283298,23.26,13.96
Derrick Henry,7300,RB,BAL,CIN,18.6,2.55,11.966666666666667,12.466666666666667,0.49999999999999906,7.56,11.9160689792605,34.1966080634617,23.70,13.50
Sam Darnold,5800,QB,SEA,IND,18.599,3.21,5.333333333333334,4.966666666666667,-0.36666666666666725,6.93,5.14675275838106,32.2154521307085,23.27,13.93
Trevor Lawrence,5700,QB,JAX,NYJ,18.434,3.23,5.666666666666666,5.4,-0.26666666666666644,6.91,5.31404974520018,31.4780871284333,23.10,13.77
Jonathan Taylor,8500,RB,IND,SEA,18.342,2.16,1.9333333333333333,3.1,1.1666666666666665,6.84,3.90700476329476,50.33637041589499,22.96,13.73
Travis Etienne Jr.,6500,RB,JAX,NYJ,17.891,2.75,12.533333333333333,17.1,4.566666666666669,6.98,13.4849264539914,26.9458316351938,22.60,13.18
Rashee Rice,7700,WR,KC,LAC,17.569,2.28,5.733333333333333,8.866666666666667,3.1333333333333337,8.57,8.22246087111409,44.9404333377318,23.35,11.79
Davante Adams,7200,WR,LAR,DET,17.493,2.43,13.900000000000002,12.2,-1.7000000000000015,9.20,12.0539048936273,40.4978655099427,23.70,11.29
Nico Collins,6700,WR,HOU,ARI,17.476,2.61,17.599999999999998,16.966666666666665,-0.633333333333333,8.74,13.580172654862299,34.8737581810967,23.37,11.58
Woody Marks,5600,RB,HOU,ARI,17.347,3.10,29.96666666666667,26.53333333333333,-3.433333333333338,6.95,19.0209487789724,19.754443225341,22.03,12.66
Jared Goff,6100,QB,DET,LAR,17.142,2.81,3.033333333333333,1.9333333333333333,-1.0999999999999999,6.61,1.9428343135613197,44.9320200313524,21.60,12.68
Bo Nix,5900,QB,DEN,GB,17.09,2.90,1.4666666666666666,1.9333333333333333,0.4666666666666668,6.33,1.91880061185772,41.3098107132367,21.36,12.82
Trey McBride,7400,TE,ARI,HOU,16.669,2.25,2.7666666666666666,4.8,2.0333333333333337,7.40,8.63196342960858,45.1100784083233,21.66,11.68
Jordan Love,5400,QB,GB,DEN,16.217,3.00,2.1333333333333333,2.0666666666666664,-0.06666666666666661,6.20,2.2080563714903,37.2492767615732,20.40,12.03
Michael Wilson,6600,WR,ARI,HOU,15.823,2.40,9.333333333333334,10,0.6666666666666667,7.61,7.376999889667089,39.7148696566258,20.95,10.69
Tyler Shough,4900,QB,NO,CAR,15.69,3.20,2.3333333333333335,3,0.6666666666666664,6.14,3.0420843867029,31.3106465625619,19.83,11.55
Caleb Williams,5300,QB,CHI,CLE,15.688,2.96,1.2666666666666666,2.166666666666667,0.9000000000000001,6.28,2.15403233546867,38.7981275470827,19.93,11.45
Josh Jacobs,6900,RB,GB,DEN,15.473,2.24,2.533333333333333,4.933333333333334,2.4,6.62,4.70217087877025,44.5146217868511,19.94,11.01
Jacoby Brissett,5500,QB,ARI,HOU,15.256,2.77,1.3333333333333335,1,-0.33333333333333337,5.57,0.679237137916303,44.6000386716879,19.01,11.50
RJ Harvey,6000,RB,DEN,GB,15.246,2.54,7.1,8.066666666666666,0.966666666666667,6.23,7.10072711825698,32.4016737395953,19.45,11.04
Quinshon Judkins,6300,RB,CLE,CHI,15.195,2.41,7.6,6.2,-1.4,6.18,5.39993126430564,36.845082748187,19.36,11.03
